Make,Model,Price,Vehicle,Fuel,Transmission,Mileage,Engine,Body
Suzuki,S-Presso,415000,2021,Gasoline,Manual,"30,000",1,Hatchback
Ford,Everest,930000,2017,Diesel,Automatic,"60,000",2.2,SUV
Honda,Civic,760000,2017,Gasoline,Automatic,"50,000",1.8,Sedan
Toyota,Innova,1120000,2023,Diesel,Automatic,"17,000",2.8,MPV
Toyota,Camry,520000,2013,Gasoline,Automatic,"60,000",2.5,Sedan
Hyundai,Tucson,470000,2013,Diesel,Automatic,"70,000",2,Crossover
Toyota,Rush,720000,2018,Gasoline,Automatic,"50,000",1.5,MPV
Ford,Ranger,1540000,2021,Diesel,Automatic,"40,000",2,Pickup
Mitsubishi,Montero,645000,2012,Diesel,Automatic,"80,000",2.5,SUV
Toyota,Fortuner,940000,2017,Gasoline,Automatic,"60,000",2.7,SUV
Ford,Territory,970000,2022,Gasoline,Automatic,"20,000",,Crossover
Chevrolet,Trailblazer,820000,2019,Diesel,Automatic,"40,000",,SUV
Mitsubishi,Mirage,610000,2024,Gasoline,Automatic,"2,000",1.2,Sedan
Mitsubishi,Montero,920000,2017,Diesel,Automatic,"50,000",,SUV
Toyota,Fortuner,950000,2017,Gasoline,Automatic,"40,000",2.7,SUV
Hyundai,Grand,960000,2019,Diesel,Automatic,"40,000",2.5,Van
Toyota,Vios,645000,2022,Gasoline,CVT,"17,000",1.3,Sedan
Toyota,Vios,460000,2017,Gasoline,Automatic,"40,000",1.3,Sedan
Toyota,Avanza,815000,2022,Gasoline,CVT,"21,000",1.3,MPV
Toyota,Fortuner,930000,2016,Gasoline,Automatic,"60,000",2.7,SUV
Nissan,Juke,505000,2017,Gasoline,CVT,"40,000",1.6,Crossover
Mazda,2,420000,2016,Gasoline,Automatic,"50,000",1.5,Sedan
Honda,Civic,905000,2021,Gasoline,CVT,"40,000",1.8,Sedan
Suzuki,APV,270000,2008,Gasoline,Manual,"90,000",1.6,MPV
Toyota,Fortuner,1020000,2016,Diesel,Automatic,"50,000",2.4,SUV
Ford,Ranger,680000,2016,Diesel,Automatic,"60,000",2.2,Pickup
Suzuki,Vitara,690000,2019,Gasoline,Automatic,"50,000",1.6,Crossover
Honda,BR-V,690000,2019,Gasoline,CVT,"50,000",1.5,Crossover
Toyota,Fortuner,1110000,2017,Diesel,Automatic,"50,000",2.4,SUV
Toyota,Wigo,360000,2016,Gasoline,Automatic,"30,000",1.0,Hatchback
Geely,Coolray,680000,2020,Gasoline,Automatic,"16,000",1.5,Crossover
Suzuki,Ertiga,630000,2019,Gasoline,Automatic,"10,000",1.5,MPV
Toyota,Corolla,635000,2018,Gasoline,Automatic,"30,000",1.6,Sedan
Toyota,Vios,520000,2018,Gasoline,Automatic,"40,000",1.3,Sedan
Kia,Sportage,790000,2018,Diesel,Automatic,"50,000",2,Crossover
Toyota,Wigo,630000,2024,Gasoline,CVT,300,1,Hatchback
Nissan,NV350,930000,2021,Diesel,Manual,"30,000",2.5,Van
Hyundai,Tucson,470000,2014,Gasoline,Automatic,"40,000",2,Crossover
Chevrolet,Trailblazer,720000,2017,Diesel,Automatic,"50,000",2.8,SUV
Suzuki,APV,480000,2017,Gasoline,Automatic,"40,000",1.6,MPV
Mitsubishi,Montero,675000,2014,Diesel,Automatic,"70,000",2.5,SUV
Toyota,Yaris,480000,2017,Gasoline,Automatic,"30,000",1.3,Hatchback
Suzuki,Ertiga,515000,2020,Gasoline,Manual,"30,000",1.5,MPV
Suzuki,Vitara,590000,2019,Gasoline,Automatic,"40,000",1.6,Crossover
Suzuki,Ertiga,430000,2015,Gasoline,Automatic,"70,000",1.4,MPV
Honda,Mobilio,540000,2016,Gasoline,Automatic,"50,000",1.5,MPV
Mazda,3,590000,2019,Gasoline,Automatic,"20,000",,Sedan
Ford,Everest,1320000,2020,Diesel,Automatic,"40,000",2,SUV
Suzuki,Swift,385000,2015,Gasoline,Automatic,"60,000",1.2,Hatchback
Suzuki,Ertiga,565000,2019,Gasoline,Automatic,"50,000",1.5,MPV
Honda,CR-V,720000,2017,Gasoline,Automatic,"70,000",,SUV
Honda,Brio,580000,2019,Gasoline,CVT,"30,000",1.2,Hatchback
Honda,Mobilio,520000,2016,Gasoline,Automatic,"40,000",1.5,MPV
Toyota,Raize,850000,2023,Gasoline,Automatic,"9,000",,Crossover
Toyota,Fortuner,920000,2016,Gasoline,Automatic,"30,000",2.7,SUV
Honda,Civic,390000,2012,Gasoline,Automatic,"80,000",1.8,Sedan
Honda,HR-V,590000,2015,Gasoline,Automatic,"60,000",1.8,Crossover
Toyota,Veloz,1120000,2024,Gasoline,Automatic,"1,000",1.5,SUV
Toyota,Fortuner,1130000,2018,Diesel,Automatic,"40,000",2.4,SUV
Toyota,Fortuner,995000,2019,Gasoline,Automatic,"90,000",2.7,SUV
Suzuki,Ertiga,505000,2019,Gasoline,Manual,"40,000",1.5,MPV
Mitsubishi,Montero,990000,2018,Diesel,Automatic,"50,000",2.5,SUV
Hyundai,Elantra,550000,2019,Gasoline,Automatic,"30,000",1.4,Sedan
Chevrolet,Trailblazer,645000,2014,Diesel,Automatic,"60,000",2.8,SUV
Toyota,Alphard,2500000,2018,Gasoline,Automatic,"124,213",3.5,Minivan
Isuzu,mu-X,930000,2019,Diesel,Automatic,"40,000",1.9,SUV
Honda,Civic,740000,2016,Gasoline,Automatic,"30,000",1.8,Sedan
Toyota,Raize,940000,2022,Gasoline,Automatic,"20,000",1,SUV
Toyota,FJ,1690000,2016,Gasoline,Automatic,"70,000",4.0,SUV
Ford,Territory,970000,2022,Gasoline,Automatic,"40,000",1.5,Crossover
Ford,Everest,990000,2016,Diesel,Automatic,"60,000",3.2,SUV
Mitsubishi,Montero,1160000,2019,Diesel,Automatic,"40,000",2.4,SUV
Honda,City,535000,2016,Gasoline,Automatic,"60,000",1.5,Sedan
Suzuki,Ertiga,615000,2019,Gasoline,Automatic,"40,000",1.5,MPV
Honda,BR-V,675000,2019,Gasoline,CVT,"40,000",1.5,Crossover
Toyota,Wigo,440000,2019,Gasoline,Automatic,"20,000",1.0,Hatchback
Hyundai,Reina,450000,2020,Gasoline,Automatic,"30,000",1.4,Sedan
Suzuki,Vitara,690000,2019,Gasoline,Automatic,"20,000",1.6,Crossover
Honda,BR-V,680000,2018,Gasoline,Automatic,"30,000",1.5,SUV
Subaru,Forester,978000,2019,Gasoline,Automatic,"49,000",2,Crossover
Toyota,Innova,558000,2013,Diesel,Manual,"126,000",2.5,MPV
Isuzu,mu-X,858000,2016,Diesel,Automatic,"84,000",3.0,SUV
Suzuki,Ertiga,498000,2017,Gasoline,Manual,"38,000",1.4,MPV
Kia,Picanto,298000,2016,Gasoline,Manual,"73,000",1.0,Hatchback
Nissan,Navara,878000,2017,Diesel,Automatic,"47,000",2.5,Pickup
Ford,Ranger,770000,2017,Diesel,Automatic,"60,000",2.2,Pickup
Kia,Sportage,410000,2012,Gasoline,Automatic,"70,000",2,SUV
Honda,City,595000,2020,Gasoline,Automatic,"40,000",1.5,Sedan
Toyota,Rush,780000,2019,Gasoline,Automatic,"50,000",1.5,MPV
Ford,EcoSport,590000,2019,Gasoline,Automatic,"4,000",1.5,Crossover
Toyota,Rush,680000,2019,Gasoline,Automatic,"40,000",1.5,MPV
Ford,EcoSport,655000,2020,Gasoline,Automatic,"40,000",,SUV
Toyota,Fortuner,660000,2013,Gasoline,Automatic,"70,000",2.7,SUV
Mazda,CX-3,660000,2017,Gasoline,Automatic,"60,000",,Crossover
Nissan,NV350,1238000,2023,Diesel,Manual,"31,000",2.5,Van
Toyota,Avanza,620000,2019,Gasoline,Manual,"20,000",1.3,MPV
Subaru,WRX,1190000,2018,Gasoline,Automatic,"9,000",2,Sedan
Mitsubishi,Mirage,300000,2014,Gasoline,Manual,"70,000",1.2,Hatchback
Toyota,Alphard,3330000,2018,Gasoline,Automatic,"20,000",3.5,Van
Honda,Mobilio,620000,2016,Gasoline,Automatic,"50,000",1.5,MPV
Mitsubishi,Xpander,690000,2019,Gasoline,Automatic,"70,000",1.5,MPV
Ford,Mustang,2150000,2015,Gasoline,Automatic,"18,000",5.0,Coupe
BMW,X1,1790000,2018,Diesel,Automatic,"20,000",2.5,Crossover
Toyota,Innova,1230000,2022,Diesel,Automatic,"7,000",2.8,SUV
Mercedes-Benz,E-Class,2790000,2018,Diesel,Automatic,"40,000",2,Sedan
Toyota,Innova,1198000,2022,Diesel,Automatic,"10,000",2.8,SUV
Toyota,Hilux,898000,2021,Diesel,Manual,"79,000",2.4,Pickup
Ford,Everest,1190000,2018,Diesel,Automatic,"40,000",3.2,SUV
Mitsubishi,Montero,1380000,2020,Diesel,Automatic,"40,000",2.4,SUV
Toyota,Camry,1490000,2019,Gasoline,Automatic,"30,000",2.5,Sedan
Nissan,Almera,420000,2019,Gasoline,Automatic,"20,000",1.5,Sedan
Hyundai,Grand,1860000,2020,Diesel,Automatic,"60,000",2.5,Van
Isuzu,Sportivo,510000,2015,Diesel,Manual,"70,000",2.5,AUV
Toyota,Fortuner,710000,2013,Diesel,Automatic,"70,000",2.5,SUV
Subaru,Forester,580000,2014,Gasoline,Automatic,"70,000",2.0,Crossover
Isuzu,D-Max,810000,2018,Diesel,Automatic,"40,000",,Pickup
Mitsubishi,Montero,680000,2014,Diesel,Automatic,"70,000",2.5,SUV
Mitsubishi,Montero,1130000,2019,Diesel,Automatic,"40,000",2.4,SUV
Toyota,Avanza,538000,2016,Gasoline,Automatic,"101,000",1.5,MPV
Hyundai,Tucson,698000,2018,Gasoline,Automatic,"75,000",2,Crossover
Geely,Coolray,768000,2023,Gasoline,Automatic,"2,000",1.5,Crossover
Ford,Territory,888000,2021,Gasoline,Automatic,"29,000",1.5,SUV
Mitsubishi,Strada,1250000,2021,Diesel,Automatic,"30,000",2.4,Pickup
Toyota,Vios,410000,2019,Gasoline,Manual,"8,745",1.3,Sedan
Kia,Grand,1180000,2018,Diesel,Automatic,"60,000",2.2,Van
Ford,Explorer,1190000,2016,Gasoline,Automatic,"40,000",3.5,SUV
Ford,Explorer,1190000,2016,Gasoline,Automatic,"60,000",3.5,SUV
Honda,CR-V,740000,2017,Gasoline,Automatic,"60,000",2,Crossover
Mitsubishi,Mirage,325000,2016,Gasoline,Automatic,"60,000",1.2,Hatchback
Hyundai,Elantra,370000,2014,Gasoline,Automatic,"60,000",1.6,Sedan
Subaru,Forester,720000,2018,Gasoline,CVT,"40,000",2.0,Crossover
Toyota,Vios,388000,2016,Gasoline,Manual,"58,000",1.3,Sedan
Kia,Soluto,428000,2019,Gasoline,Automatic,"56,177",1.4,Sedan
Geely,Okavango,888000,2021,Gasoline,Automatic,"15,000",1.5,Crossover
Nissan,Terra,1098000,2019,Diesel,Automatic,"71,000",2.5,SUV
Honda,Jazz,650000,2018,Gasoline,Automatic,"40,000",1.5,Hatchback
Mitsubishi,Mirage,560000,2022,Gasoline,Automatic,"20,000",1.2,Sedan
Mazda,2,420000,2016,Gasoline,Automatic,"40,000",1.5,Sedan
Hyundai,Venue,790000,2022,Gasoline,Automatic,"20,000",1.6,SUV
Honda,Civic,775000,2016,Gasoline,Automatic,"30,000",1.8,Sedan
Chevrolet,Colorado,790000,2019,Diesel,Automatic,"40,000",2.8,Pickup
Mitsubishi,Xpander,760000,2019,Gasoline,Automatic,"30,000",1.5,MPV
Mitsubishi,Xpander,770000,2019,Gasoline,Automatic,"50,000",1.5,MPV
Honda,HR-V,650000,2017,Gasoline,Automatic,"35,000",1.8,SUV
Mazda,CX-3,650000,2018,Gasoline,Automatic,"53,000",2,Crossover
Toyota,Rush,740000,2019,Gasoline,Automatic,"90,000",1.5,MPV
Mitsubishi,Xpander,675000,2019,Gasoline,Manual,"30,000",1.5,MPV
Toyota,Rush,710000,2018,Gasoline,Automatic,"40,000",1.5,MPV
Toyota,Hiace,1740000,2019,Diesel,Manual,"20,000",2.8,Van
Toyota,Fortuner,810000,2015,Gasoline,Automatic,"50,000",2.7,SUV
Mazda,3,990000,2020,Gasoline,Automatic,"20,000",1.5,Hatchback
Mazda,CX-5,680000,2015,Gasoline,Automatic,"60,000",2,Crossover
Honda,Civic,1230000,2022,Gasoline,CVT,"13,000",1.5,Sedan
Toyota,Fortuner,1180000,2018,Diesel,Automatic,"40,000",2.4,SUV
Suzuki,Jimny,710000,2017,Gasoline,Automatic,"50,000",1.3,SUV
Chevrolet,Trailblazer,770000,2018,Diesel,Automatic,"40,000",2.8,SUV
Mitsubishi,Montero,1050000,2016,Diesel,Automatic,"60,000",2.4,SUV
Chevrolet,Trailblazer,905000,2020,Diesel,Automatic,"40,000",2.8,SUV
Kia,Sportage,530000,2014,Diesel,Automatic,"70,000",2,Crossover
Toyota,Fortuner,1090000,2018,Diesel,Automatic,"120,000",2.4,SUV
Ford,Territory,930000,2022,Gasoline,Automatic,"40,000",1.5,Crossover
Honda,Jazz,720000,2018,Gasoline,Automatic,"40,000",1.5,Hatchback
Ford,Everest,1080000,2018,Diesel,Automatic,"40,000",2.2,SUV
Toyota,Corolla,1030000,2021,Gasoline,Automatic,"20,000",1.8,Crossover
Subaru,BRZ,1250000,2014,Gasoline,Manual,"40,000",2.0,Coupe
Suzuki,Celerio,360000,2016,Gasoline,Automatic,"50,000",1.0,Hatchback
MG,ZS,600000,2022,Gasoline,Manual,"21,455",1.5,Crossover
Chevrolet,Trax,505000,2017,Gasoline,Automatic,"40,000",1.4,Crossover
Nissan,Navara,1090000,2022,Diesel,Automatic,"20,000",2.5,Pickup
Jeep,Renegade,920000,2017,Gasoline,Automatic,"20,000",1.4,SUV
Isuzu,MU-X,720000,2015,Diesel,Automatic,"70,000",2.5,SUV
Toyota,Fortuner,1298000,2018,Diesel,Automatic,"67,000",2.4,SUV
Subaru,XV,830000,2018,Gasoline,Automatic,"40,000",,Crossover
Toyota,Fortuner,1060000,2016,Diesel,Automatic,"70,000",2.4,SUV
Mercedes-Benz,CLA-Class,2700000,2023,Gasoline,Automatic,"3,500",1.3,Coupe
Toyota,Fortuner,1050000,2018,Diesel,Automatic,"92,500",2.4,SUV
Ford,Everest,940000,2017,Diesel,Automatic,"50,000",2.2,SUV
Mazda,3,540000,2017,Gasoline,Automatic,"60,000",1.5,Hatchback
Mitsubishi,Strada,725000,2018,Diesel,Manual,"30,000",2.5,Pickup
Toyota,Fortuner,1040000,2016,Diesel,Automatic,"80,000",2.4,SUV
Ford,Everest,905000,2018,Diesel,Automatic,"40,000",2.2,SUV
Ford,Everest,1020000,2018,Diesel,Automatic,"40,000",2.2,SUV
Honda,Jazz,660000,2017,Gasoline,Automatic,"50,000",1.5,Hatchback
Mazda,CX-5,610000,2015,Gasoline,Automatic,"70,000",2,Crossover
Mitsubishi,Xpander,730000,2019,Gasoline,Automatic,"30,000",1.5,SUV
Toyota,Wigo,458000,2020,Gasoline,Automatic,"37,000",1,Hatchback
Toyota,Avanza,638000,2019,Gasoline,Automatic,"37,000",1.3,MPV
Ford,Territory,918000,2022,Gasoline,Automatic,"23,000",1.5,Crossover
Ford,EcoSport,648000,2020,Gasoline,Automatic,"15,000",,SUV
Nissan,Terra,1068000,2019,Diesel,Automatic,"83,000",2.5,SUV
Toyota,Avanza,370000,2014,Gasoline,Manual,"80,000",1.3,MPV
Mitsubishi,Mirage,370000,2016,Gasoline,Automatic,"60,000",1.2,Hatchback
Jeep,Renegade,990000,2020,Gasoline,Automatic,"15,000",1.4,Crossover
Ford,EcoSport,340000,2016,Gasoline,Automatic,"41,500",1.5,Crossover
Ford,Ranger,905000,2020,Diesel,Automatic,"40,000",2,Pickup
Mitsubishi,Mirage,335000,2014,Gasoline,Automatic,"60,000",1.2,Sedan
Mitsubishi,Montero,680000,2014,Diesel,Automatic,"70,000",2.5,SUV
Nissan,Juke,515000,2017,Gasoline,Automatic,"40,000",1.6,Crossover
Mitsubishi,Mirage,598000,2022,Gasoline,Automatic,"4,000",1.2,Sedan
Chevrolet,Trailblazer,560000,2014,Diesel,Automatic,"70,000",2.8,SUV
Toyota,Fortuner,1140000,2018,Diesel,Automatic,"60,000",2.4,SUV
Nissan,X-Trail,840000,2018,Gasoline,CVT,"60,000",2.0,Crossover
Mitsubishi,Xpander,770000,2019,Gasoline,Automatic,"30,000",1.5,MPV
Toyota,Innova,740000,2017,Diesel,Automatic,"50,000",2.8,MPV
Isuzu,mu-X,870000,2017,Diesel,Automatic,"50,000",3,SUV
Kia,Sportage,510000,2015,Gasoline,Automatic,"60,000",,Crossover
Suzuki,Ertiga,690000,2020,Gasoline,Automatic,"20,000",1.5,MPV
Ford,Everest,1190000,2019,Diesel,Automatic,"80,000",2,SUV
Honda,Jazz,700000,2018,Gasoline,CVT,"36,000",1.5,Hatchback
Mitsubishi,Montero,1010000,2018,Diesel,Automatic,"70,000",2.4,SUV
Honda,Mobilio,560000,2016,Gasoline,Automatic,"50,000",1.5,MPV
Suzuki,Jimny,770000,2018,Gasoline,Automatic,"40,000",,SUV
Honda,City,530000,2016,Gasoline,Automatic,"60,000",1.5,Sedan
Ford,Everest,755000,2016,Diesel,Automatic,"50,000",2.2,SUV
Suzuki,Jimny,1195000,2022,Gasoline,Automatic,"60,000",1.5,SUV
Toyota,Fortuner,1230000,2019,Diesel,Automatic,"30,000",2.4,SUV
Honda,Mobilio,590000,2017,Gasoline,Automatic,"40,000",1.5,AUV
Kia,Sorento,580000,2015,Diesel,Automatic,"70,000",2.2,SUV
Toyota,Fortuner,1270000,2020,Diesel,Automatic,"40,000",2.4,SUV
Hyundai,Tucson,830000,2019,Diesel,Automatic,"50,000",2,Crossover
Hyundai,Elantra,470000,2016,Gasoline,Automatic,"40,000",2.0,Sedan
Mitsubishi,Montero,880000,2016,Diesel,Automatic,"60,000",2.4,SUV
Subaru,Forester,1098000,2019,Gasoline,Automatic,"11,000",2,Crossover
Ford,Everest,798000,2017,Diesel,Automatic,"63,000",2.2,SUV
Toyota,Wigo,538000,2021,Gasoline,Automatic,"19,000",1,Hatchback
Honda,City,648000,2018,Diesel,Automatic,"37,000",1.5,Sedan
Subaru,BRZ,2190000,2023,Gasoline,Automatic,"1,950",2.4,Coupe
Ford,Everest,808000,2017,Diesel,Automatic,"104,000",,SUV
Isuzu,mu-X,878000,2016,Diesel,Automatic,"39,000",,SUV
Hyundai,Tucson,858000,2019,Diesel,Automatic,"37,000",2,Crossover
Toyota,Hilux,918000,2016,Diesel,Automatic,"76,000",2.4,Pickup
Ford,Everest,778000,2016,Diesel,Automatic,"56,000",2.2,SUV
Honda,City,668000,2020,Gasoline,Automatic,"27,000",1.5,Sedan
Mazda,3,998000,2020,Gasoline,Automatic,"10,000",2,Sedan
MG,ZS,748000,2022,Gasoline,Automatic,"14,000",1.3,Crossover
Ford,EcoSport,528000,2019,Gasoline,Automatic,"41,000",1.5,Crossover
Honda,CR-V,638000,2015,Gasoline,Automatic,"56,000",2.0,Crossover
Volkswagen,Jetta,478000,2016,Diesel,Automatic,"62,000",2,Sedan
Honda,HR-V,598000,2015,Gasoline,Automatic,"49,000",1.8,Crossover
Suzuki,Ertiga,548000,2019,Gasoline,Manual,"43,000",1.5,MPV
Kia,Bongo,425000,2020,Diesel,Manual,"142,000",2.9,Commercial
Toyota,Wigo,418000,2019,Gasoline,Automatic,"77,000",1.0,Hatchback
Mitsubishi,Montero,1098000,2017,Diesel,Automatic,"48,000",,SUV
Ford,Explorer,1250000,2017,Gasoline,Automatic,"44,591",3.5,SUV
Toyota,Rush,898000,2022,Gasoline,Automatic,"29,000",1.5,MPV
Hyundai,H-100,898000,2023,Diesel,Manual,"16,000",2.2,Commercial
Suzuki,Dzire,495000,2023,Gasoline,Automatic,"6,000",1.2,Sedan
Toyota,Avanza,629000,2019,Gasoline,Manual,"52,000",1.5,MPV
Nissan,Navara,799000,2019,Diesel,Manual,"56,000",,Pickup
Isuzu,Crosswind,349000,2017,Diesel,Manual,"97,000",2.5,AUV
Toyota,Vios,519000,2020,Gasoline,Automatic,"25,000",1.3,Sedan
Mitsubishi,Xpander,899000,2022,Gasoline,Automatic,"33,000",1.5,MPV
Nissan,NV350,859000,2020,Diesel,Manual,"73,000",,Van
Hyundai,Kona,619000,2020,Gasoline,Automatic,"63,000",2,Crossover
Toyota,Avanza,565000,2019,Gasoline,Automatic,"39,800",1.3,MPV
Ford,Ranger,1890000,2022,Diesel,Automatic,"21,000",2,Pickup
Mitsubishi,L300,768000,2022,Diesel,Manual,"12,000",2.2,Commercial
Subaru,XV,528000,2013,Gasoline,Automatic,"32,000",2,SUV
Toyota,Rush,758000,2019,Gasoline,Automatic,"41,000",1.5,MPV
Ford,Explorer,1068000,2016,Gasoline,Automatic,"73,000",,Crossover
Audi,A6,798000,2009,Diesel,Automatic,"26,000",3,Sedan
Nissan,Terra,1118000,2019,Diesel,Automatic,"66,000",2.5,SUV
Mitsubishi,L300,750000,2023,Diesel,Manual,"7,000",2.2,Commercial
Mitsubishi,Montero,1075999,2017,Diesel,Automatic,"18,700",2.5,SUV
Mazda,CX-9,1099000,2019,Gasoline,Automatic,"94,841",2.5,SUV
Audi,Q7,2500000,2019,Diesel,Automatic,"101,000",3,SUV
Mitsubishi,Mirage,488000,2019,Gasoline,Automatic,"33,000",1.2,Sedan
Nissan,Patrol,1600000,2016,Diesel,Automatic,"60,000",3,SUV
Ford,Explorer,700000,2014,Gasoline,Automatic,"90,000",2,SUV
Hyundai,Tucson,670000,2018,Diesel,Automatic,"46,726",2,Crossover
Ford,Ranger,1000000,2014,Diesel,Manual,"74,000",2.2,Pickup
MG,HS,1100000,2022,Gasoline,Automatic,"18,000",1.5,Crossover
Mitsubishi,Montero,1420000,2020,Diesel,Automatic,"27,000",2.4,SUV
Ford,Territory,1000000,2022,Gasoline,Automatic,"7,021",,Crossover
Toyota,Wigo,500000,2022,Gasoline,Automatic,"3,850",1,Hatchback
MINI,Cooper,510000,2005,Gasoline,Automatic,"68,000",1.6,Sedan
Mitsubishi,Mirage,680000,2023,Gasoline,Automatic,"5,400",1.2,Sedan
Volkswagen,Santana,690000,2019,Gasoline,Automatic,"26,300",1.5,Wagon
Ford,Everest,950000,2018,Diesel,Automatic,"100,000",2.2,SUV
Suzuki,Ertiga,700000,2020,Gasoline,Automatic,"12,387",1.5,MPV
Mazda,3,950000,2020,Gasoline,Automatic,"10,300",2,Hatchback
MG,RX5,629000,2019,Gasoline,Automatic,"70,000",1.5,Crossover
Hyundai,Tucson,330000,2012,Gasoline,Manual,"88,600",2,SUV
Toyota,86,1750000,2019,Gasoline,Automatic,"7,000",2,Coupe
Nissan,NV350,1179000,2019,Diesel,Automatic,"67,000",,Van
Toyota,Vios,350000,2017,Gasoline,Manual,"85,000",1.3,Sedan
Nissan,Patrol,1850000,2013,Gasoline,Automatic,"120,000",,Wagon
Land,Range,5600000,2023,Diesel,Automatic,70,2,SUV
Mazda,CX-5,750000,2014,Gasoline,Automatic,"44,000",2.5,Crossover
Nissan,Juke,550000,2016,Gasoline,CVT,"40,000",,SUV
Nissan,Navara,950000,2018,Diesel,Automatic,"74,000",2.5,Pickup
Ford,Ranger,1460000,2019,Diesel,Automatic,"26,000",2,Pickup
Toyota,Hilux,830000,2013,Diesel,Automatic,"114,000",3,Pickup
Chery,Tiggo,1550000,2022,Gasoline,Automatic,"6,600",1.6,SUV
Subaru,Forester,340000,2010,Gasoline,Automatic,"99,000",2,SUV
Maxus,V80,750000,2020,Diesel,Manual,"2,800",2.5,Van
Mitsubishi,Adventure,235000,1999,Gasoline,Automatic,"180,000",,MPV
Honda,City,520000,2016,Gasoline,Automatic,"68,000",1.5,Sedan
Toyota,Fortuner,520000,2010,Gasoline,Automatic,"115,000",2.7,SUV
Lexus,NX,2000000,2018,Gasoline,Automatic,"40,000",2,Crossover
Toyota,Innova,660000,2017,Diesel,Manual,"83,280",2.8,MPV
Mitsubishi,Adventure,355000,2011,Diesel,Manual,"151,000",,MPV
BMW,520i,3850000,2022,Gasoline,Automatic,"4,500",2,Sedan
Toyota,Wigo,565000,2022,Gasoline,Automatic,"16,500",1,Hatchback
Jeep,Grand,2130000,2015,Diesel,Automatic,"24,000",,SUV
Mitsubishi,Xpander,750000,2019,Gasoline,Automatic,"16,563",1.5,MPV
Ford,Explorer,1330000,2016,Gasoline,Automatic,"63,000",,SUV
Hyundai,Grand,400000,2008,Diesel,Automatic,"160,000",,Van
Geely,Azkarra,1350000,2022,Diesel,Automatic,"4,652",,Crossover
Mazda,CX-5,1200000,2017,Gasoline,Automatic,"58,000",,Wagon
Ford,Ranger,1450000,2019,Diesel,Automatic,"17,600",,Pickup
Mercedes-Benz,C250,1800000,2013,Gasoline,Automatic,"45,000",,Coupe
Toyota,86,2400000,2013,Gasoline,Manual,"35,000",2,Coupe
Suzuki,Ertiga,788000,2020,Gasoline,Automatic,"12,400",1.5,MPV
Suzuki,Ertiga,600000,2021,Gasoline,Manual,"2,500",,MPV
Kia,Sportage,950000,2017,Gasoline,Automatic,"38,971",2,Crossover
Hyundai,Accent,385000,2016,Diesel,Automatic,"105,000",1.6,Sedan
Mazda,CX-5,520000,2012,Gasoline,Automatic,"48,000",2.0,SUV
Foton,Gratour,350000,2019,Gasoline,Manual,"17,000",1.5,Minivan
